value_en,value_ru,value_hy
"Fill&Hide 2, automatic","Fill&Hide 2, автоматический","Fill&Hide 2, ավտոմատ"
Filter Coffee Machine,Фильтр-кофемашина,Ֆիլտրի սուրճի մեքենա
Filter grid,Фильтрующая решётка,Ֆիլտրի ցանց
Filtering kit and charcoal filter regenerable included,Фильтрующий комплект и регенерируемый угольный фильтр в комплекте,Ներառված են ֆիլտրի հավաքածուն և վերականգնվող ածխի ֆիլտրը
Finger friendly stainless steel,Нержавеющая сталь с защитой от отпечатков,Մատնահետքերից զերծ չժանգոտվող պողպատ
Finger proof,Защита от отпечатков,Մատնահետքերից պաշտպանություն
Fingerproof,Защита от отпечатков,Մատնահետքերից պաշտպանություն
Fixed,Фиксированная,Ֆիքսված
Flap down,Откидная,Վայրէջք
Flat,Плоский,Հարթ
Flowblend,Flowblend,Flowblend
"Flush fitted, Flat","Вровень со столешницей, плоский","Սեղանի հետ հավասար, հարթ"
"Flush fitted, Flat, Undermount","Вровень со столешницей, плоский, под столешницу","Սեղանի հետ հավասար, հարթ, սեղանի տակ"
Food Preparation,Подготовка продуктов,Սննդի պատրաստում
Food Processor,Кухонный комбайн,Սննդի պրոցեսոր
Franges,Фланцы,Եզրեր
Free Standing,Отдельностоящая,Ազատ կանգնած
Free standing,Отдельностоящий,Ազատ կանգնած
Free-standing,Отдельностоящая,Ազատ կանգնած
"Free-standing, Class 1, Built-in, Class 2-1 norm UNI EN 30-1-1","Отдельностоящая, класс 1, встраиваемая, класс 2-1 норма UNI EN 30-1-1","Ազատ կանգնած, դաս 1, ներկառուցվող, դաս 2-1 նորմ UNI EN 30-1-1"
Freezers,Морозильные камеры,Սառցախցիկներ
Fridges and freezers,Холодильники и морозильники,Սառնարաններ և սառցախցիկներ
Frigoriferi d'arte,Художественные холодильники,Արվեստի սառնարաններ
From 1 to 24 h,От 1 до 24 ч,1-ից 24 ժ
From 10 to 160 min,От 10 до 160 мин,10-ից 160 րոպե
Front,Спереди,Առջևից
Front centre,Передняя центральная,Առջևի կենտրոն
Front left,Спереди слева,Առջևի ձախ
Front right,Спереди справа,Առջևի աջ
Front-centre,Передний-центр,Դիմային կենտրոն
Front-left,Спереди слева,Առջևի ձախ
Front-right,Спереди справа,Առջևի աջ
Frontal,Фронтальная,Առջևի
Full electric,Полностью электрическая,Ամբողջությամբ էլեկտրական
Full glass,Полностью стеклянная,Ամբողջական ապակի
Full touch,Полное сенсорное управление,Ամբողջական սենսորային
Fully Built-in,Полностью встраиваемая,Լիովին ներկառուցվող
Fully integrated,Полностью встроенная,Լրիվ ինտեգրված
Fully integrated built-in,Полностью встраиваемая,Լիովին ինտեգրված ներկառուցվող
Fully-integrated built-in,Полностью встраиваемая,Լիովին ինտեգրված ներկառուցվող
G110 City gas,G110 Городской газ,G110 Քաղաքային գազ
"G110 City gas, G20 Natural gas","G110 Городской газ, G20 Природный газ","G110 Քաղաքային գազ, G20 Բնական գազ"
G20 Natural gas,G20 Природный газ,G20 Բնական գազ
G20/G25 natural gas,Природный газ G20/G25,G20/G25 բնական գազ
"G25 Natural gas, G30 GPL Liquid gas","G25 Природный газ, G30 Сжиженный газ GPL","G25 Բնական գազ, G30 GPL Հեղուկ գազ"
G30 GPL Liquid gas,Сжиженный газ G30 GPL,G30 GPL հեղուկ գազ
"G30 GPL Liquid gas, G110 City gas","Сжиженный газ G30 GPL, Городской газ G110","G30 GPL հեղուկ գազ, G110 Քաղաքային գազ"
"G30 GPL Liquid gas, G20 Natural gas","Сжиженный газ G30 GPL, Природный газ G20","G30 GPL հեղուկ գազ, G20 Բնական գազ"
G30 LPG liquid gas,Сжиженный газ G30 LPG,G30 LPG հեղուկ գազ
"G30 Liquid gas, G25 Natural gas","Сжиженный газ G30, Природный газ G25","G30 Հեղուկ գազ, G25 Բնական գազ"
Galvanized,Оцинкованная,Ցինկապատ
Gas,Газ,Գազ
Gas - 2UR (dual),Газовая - 2UR (двойная),Գազ - 2UR (կրկնակի)
Gas - AUX,Газовая - Вспомогательная,Գազ - Օժանդակ
Gas - Rapid,Газовая - Быстрая,Գազ - Արագ
Gas - Semi Rapid,Газовая - Полубыстрая,Գազ - Կիսաարագ
Gas - UR,Газ - Ультрабыстрый,Գազ - UR
German stainless steel,Немецкая нержавеющая сталь,Գերմանական չժանգոտվող պողպատ
Gesture control,Управление жестами,Ժեստերի կառավարում
Giant door,Гигантская дверца,Հսկա դուռ
Glass,Стекло,Ապակի
Glass effect,Эффект стекла,Ապակու էֆեկտ
Glass holder kit,Комплект держателя стекла,Ապակու պահարանի հավաքածու
Glossy,Глянцевый,Փայլուն
Glossy Black,Глянцевый черный,Փայլուն սև
Glossy black,Глянцевый черный,Փայլուն սև
Glossy chromed,Глянцевый хромированный,Փայլուն քրոմապատ
Gold,Золотой,Ոսկի
Gray,Серый,Մոխրագույն
Gray internal/ polish crome external,Серый внутри/ полированный хром снаружи,Մոխրագույն ներքին/փայլուն քրոմ արտաքին
Green,Зеленый,Կանաչ
Grey,Серый,Մոխրագույն
Grey / Chrome,Серый / Хром,Մոխրագույն / Քրոմ
"Grey Flexiduo, Grey Planetarium, Cup shelfes, Handle, Anti drop inserts, Cutlery basket: same colour of Dishwasher","Светлый, 818x598x584 мм","Grey Flexiduo, Grey Planetarium, բաժակների դարակներ, բռնակ, հակաթափման ներդիրներ, պատառաքաղների զամբյուղ՝ աման լվացող մեքենայի նույն գույնով"
Grill,Гриль,Գրիլ
Half bowl,Половинная чаша,Կես թաս
Halogen,Галогенная,Հալոգեն
Hand Blender With Accessories,Погружной блендер с аксессуарами,Ձեռքի բլենդեր աքսեսուարներով
Hand Blenders,Погружные блендеры,Ձեռքի բլենդերներ
Hand Mixer,Ручной миксер,Ձեռքի հարիչ
Hand blender holder,Держатель для погружного блендера,Ձեռքի բլենդերի պահարան
Handle,Ручка,Բռնակ
Handles set,Набор ручек,Բռնակների հավաքածու
Heat pump condenser,Конденсатор с тепловым насосом,Ջերմային պոմպի կոնդենսատոր
Heat-moulded,Термоформованный,Ջերմաձուլված
Heating Element,Нагревательный элемент,Ջեռուցման տարր
Heating element,Нагревательный элемент,Ջեռուցման տարր
Height extension kit,Комплект увеличения высоты,Բարձրության երկարացման հավաքածու
Higher than 200 cm,Выше 200 см,200 սմ-ից բարձր
Higher than 80 cm,Выше 80 см,80 սմ-ից բարձր
Hob,Варочная панель,Վառարան
Hobs,Варочные панели,Վառարաններ
"Hobs, Hoods","Варочные панели, вытяжки","Վառարաններ, արտածուծիչներ"
"Holiday, Fast Feezing, ECO, Temperature Alarm","Режим отпуска, быстрая заморозка, ЭКО, сигнал температуры","Արձակուրդ, արագ սառեցում, ԷԿՈ, ջերմաստիճանի ազդանշան"
"Holiday, Fast cooling, ECO, Temperature alarm","Режим отпуска, быстрое охлаждение, ЭКО, сигнал температуры","Արձակուրդ, արագ սառեցում, ԷԿՈ, ջերմաստիճանի ազդանշան"
"Holiday, Fast freezing, Fast cooling, ECO","Режим отпуска, быстрая заморозка, быстрое охлаждение, ЭКО","Արձակուրդ, արագ սառեցում, արագ սառեցում, ԷԿՈ"
"Holiday, Fast freezing, Fast cooling, ECO, Control lock","Режим отпуска, быстрая заморозка, быстрое охлаждение, ЭКО, блокировка управления","Արձակուրդ, արագ սառեցում, արագ սառեցում, ԷԿՈ, կառավարման կողպեք"
"Holiday, Fast freezing, Fast cooling, ECO, Control lock, Cooling timer","Режим отпуска, быстрая заморозка, быстрое охлаждение, ЭКО, блокировка управления, таймер охлаждения","Արձակուրդ, արագ սառեցում, արագ սառեցում, ԷԿՈ, կառավարման կողպեք, սառեցման ժմչփ"
"Holiday, Fast freezing, Fast cooling, ECO, Control lock, Temperature alarm","Режим отпуска, быстрая заморозка, быстрое охлаждение, ЭКО, блокировка управления, сигнал температуры","Արձակուրդ, արագ սառեցում, արագ սառեցում, ԷԿՈ, կառավարման կողպեք, ջերմաստիճանի ազդանշան"
"Holiday, Fast freezing, Fast cooling, ECO, Control lock, Temperature alarm, Cooling timer","Режим отпуска, быстрая заморозка, быстрое охлаждение, ЭКО, блокировка управления, сигнал температуры, таймер охлаждения","Արձակուրդ, արագ սառեցում, արագ սառեցում, ԷԿՈ, կառավարման կողպեք, ջերմաստիճանի ազդանշան, սառեցման ժմչփ"
"Holiday, Fast freezing, Fast cooling, ECO, Temperature alarm","Режим отпуска, быстрая заморозка, быстрое охлаждение, ЭКО, сигнал температуры","Արձակուրդ, արագ սառեցում, արագ սառեցում, ԷԿՈ, ջերմաստիճանի ազդանշան"
"Holiday, Fast freezing, Fast cooling, MultiZone, ECO","Режим отпуска, быстрая заморозка, быстрое охлаждение, MultiZone, ЭКО","Արձակուրդ, արագ սառեցում, արագ սառեցում, MultiZone, ԷԿՈ"
Hood,Вытяжка,Արտածուծիչ
Hoods,Вытяжки,Արտածուծիչներ
Hot stamping foil,Горячее тиснение фольгой,Տաք դրոշմման փայլաթիթեղ
HxLxP 171x220x100 mm,ВxШxГ 171x220x100 мм,ԲxԼxԽ 171x220x100 մմ
HxLxP 251x184x142 mm,ВxШxГ 251x184x142 мм,ԲxԼxԽ 251x184x142 մմ
HxLxP 330x149x329 mm,ВxШxГ 330x149x329 мм,ԲxԼxԽ 330x149x329 մմ
HxLxP 335x140x140 mm,ВxШxГ 335x140x140 мм,ԲxԼxԽ 335x140x140 մմ
HxLxP 361x245x256 mm,ВxШxГ 361x245x256 мм,ԲxԼxԽ 361x245x256 մմ
HxLxW 200x93x93 mm,ВxШxГ 200x93x93 мм,ԲxԼxԽ 200x93x93 մմ
Hybrid: Knobs + Touch,Гибридный: ручки + сенсор,Հիբրիդային՝ կոճակներ + սենսորային
Ice,Лёд,Սառույց
Ice Cream Maker Accessory,Аксессуар для мороженицы,Պաղպաղակի արտադրիչի աքսեսուար
Ice cube tray,Лоток для льда,Սառույցի սկուտեղ
Illuminated control knobs,Подсвеченные ручки управления,Լուսավորվող կառավարման կոճակներ
In a maximum period,В максимальный период,Առավելագույն ժամանակահատվածում
In plastic,Пластиковая,Պլաստիկից
In plastic on upper and lower basket,Пластиковая на верхней и нижней корзине,Պլաստիկե՝ վերին և ստորին զամբյուղների վրա
In plastic with stainless steel insert on upper and lower basket,Пластиковая со вставкой из нержавеющей стали на верхней и нижней корзине,Պլաստիկ՝ չժանգոտվող պողպատից ներդիրով վերին և ստորին զամբյուղների վրա
Incandescent,Лампа накаливания,Շիկացման
Incandescent light,Лампа накаливания,Շիկացման լամպ
Induction,Индукционная,Ինդուկցիոն
Induction - Giant,Индукционная - Гигантская,Ինդուկցիոն - Հսկա
Induction - Multizone,Индукционная - Мультизона,Ինդուկցիոն - Multizone
Induction - Single,Индукционная - Одиночная,Ինդուկցիոն - Մեկ
Induction - Warming zone,Индукционная - Зона подогрева,Ինդուկցիոն - Տաքացման գոտի
Induction - giant,Индукционная - гигантская,Ինդուկցիոն - հսկա
Induction - multizone,Индукционная - мультизона,Ինդուկցիոն - բազմագոտի
Induction - single,Индукционная - одиночная,Ինդուկցիոն - մեկ
Induction Milk Frother,Индукционный вспениватель молока,Ինդուկցիոն կաթի փրփրիչ
Induction with integrated hood,Индукционная со встроенной вытяжкой,Ինդուկցիոն՝ ինտեգրված արտածուծիչով
"Induction, Gas, Ceramic, Electric","Индукционная, газовая, керамическая, электрическая","Ինդուկցիոն, գազի, կերամիկական, էլեկտրական"
"Inner, in the cellar compartment","Внутренняя, в винном отсеке","Ներքին, գինու խցիկում"
Inox,Нержавеющая сталь,Չժանգոտվող պողպատ
Inox Look,Под нержавеющую сталь,Inox տեսք
"Installed, Single phase","Установлен, однофазный","Տեղադրված, մեկֆազ"
Insulated bottle,Утепленная бутылка,Մեկուսացված շիշ
Integrated,Встроенный,Ինտեգրված
Integrated (semi) hood,Встроенная (полувстроенная) вытяжка,Ինտեգրված (կիսա) արտածուծիչ
Integrated filter,Встроенный фильтр,Ինտեգրված ֆիլտր
Integrated hood,Встроенная вытяжка,Ներկառուցվող արտածուծիչ
Interno (cella frigo),Внутри (холодильная камера),Ներքին (սառնարանի խցիկ)
Interno (sul Top),Внутри (сверху),Ներքին (վերևի վրա)
Inverter,Инверторный,Ինվերտորային
Inverter 2.0,Инвертор 2.0,Ինվերտոր 2.0
Isola,Островная,Կղզի
Italia flag,Флаг Италии,Իտալիայի դրոշ
J spout,J-образный носик,J-ձև ժայթք
Just for levelling,Только для выравнивания,Միայն հարթեցման համար
KITKCS-2/ KITKCX-2/ KITLOGOCR/ KITLOGOAS,KITKCS-2/ KITKCX-2/ KITLOGOCR/ KITLOGOAS,KITKCS-2/ KITKCX-2/ KITLOGOCR/ KITLOGOAS
KITRBDD - Kit Optional,KITRBDD - Дополнительный комплект,KITRBDD - Ընտրովի հավաքածու
Keep warm,Подогрев,Տաք պահում
"Keep warm, Eco light","Подогрев, эко-освещение","Տաք պահում, էկո լույս"
"Keep warm, Eco light, Brightness, Tones","Подогрев, эко-освещение, яркость, сигналы","Տաք պահում, էկո լույս, պայծառություն, ձայներ"
"Keep warm, Eco light, Language setting, Digital clock display, Brightness, ECO-logic, Tones, Tones volume","Подогрев, эко-освещение, настройка языка, цифровой дисплей часов, яркость, ECO-логика, сигналы, громкость сигналов","Տաք պահում, էկո լույս, լեզվի կարգավորում, թվային ժամացույցի էկրան, պայծառություն, ԷԿՈ-տրամաբանություն, ձայներ, ձայնի ծավալ"
"Keep warm, Eco light, Language setting, Digital clock display, Brightness, Tones, Tones volume","Подогрев, эко-освещение, настройка языка, цифровой дисплей часов, яркость, сигналы, громкость сигналов","Տաք պահում, էկո լույս, լեզվի կարգավորում, թվային ժամացույցի էկրան, պայծառություն, ձայներ, ձայնի ծավալ"
Kettle Standard,Стандартный чайник,Ստանդարտ թեյնիկ
Kettle Variable Temperature,Чайник с регулируемой температурой,Փոփոխական ջերմաստիճանի թեյնիկ
Kettles,Чайники,Թեյնիկներ
"Keyboard sound ON/OFF, Acoustic signals ON/OFF, Brightness level","Звук клавиатуры ВКЛ/ВЫКЛ, звуковые сигналы ВКЛ/ВЫКЛ, уровень яркости","Ստեղնաշարի ձայն ՄԻԱՑՎԱԾ/ԱՆՋԱՏՎԱԾ, ձայնային ազդանշաններ ՄԻԱՑՎԱԾ/ԱՆՋԱՏՎԱԾ, պայծառության մակարդակ"
Kit,Комплект,Հավաքածու
Kit Logo,Комплект логотипа,Լոգոտիպի հավաքածու
Kit Logo & Handrail,Комплект логотипа и поручня,Լոգոտիպի և բազրիքի հավաքածու
Kit for Recirculation and Extraction included,Комплект для рециркуляции и вытяжки в комплекте,Ներառված է վերաշրջանառության և արտանետման հավաքածու
"Kit listeria, Egg tray","Комплект от листерий, лоток для яиц","Լիստերիայի հավաքածու, ձվի տարա"
Kitchen Scales,Кухонные весы,Խոհանոցային կշեռք
Kitchenware,Кухонная утварь,Խոհանոցային պարագաներ
Knife Block Set,Набор ножей в подставке,Դանակների հավաքածու տակդիրով
Knife block,Ножевой блок,Դանակների բլոկ
Knobs,Ручки,Կոճակներ
Knobs & touch buttons,Ручки и сенсорные кнопки,Կոճակներ և սենսորային կոճակներ
Knock Box,Отбойник для кофейной гущи,Կոֆեի մրուրի թափիչ
L spout,L-образный носик,L-ձև ժայթք
LCD,ЖК-дисплей,Հեղուկ բյուրեղային էկրան
LCD Touch,Сенсорный ЖК-дисплей,Հպվող հեղուկ բյուրեղային էկրան
LCD colour,Цветной ЖК-дисплей,Գունավոր հեղուկ բյուրեղային էկրան
LED,Светодиодный,Լուսադիոդային
LED (external),Светодиодный (внешний),Լուսադիոդային (արտաքին)
LED display,Светодиодный дисплей,Լուսադիոդային էկրան
LED display (1 digit),Светодиодный дисплей (1 цифра),Լուսադիոդային էկրան (1 նիշ)
LED display (3 digit),Светодиодный дисплей (3 цифры),Լուսադիոդային էկրան (3 նիշ)
Laminate,Ламинат,Շերտավոր
Large capacity,Большая вместимость,Մեծ տարողություն
Laser,Лазер,Լազեր
Lasered,Лазерная гравировка,Լազերային
Lateral,Боковое,Կողային
Lavagna,Грифельная,Սև տախտակ
Led,Светодиодный,Լուսադիոդային
"Led on display, with acoustic signal","Светодиод на дисплее, со звуковым сигналом","Լուսադիոդ էկրանին, ձայնային ազդանշանով"
Left,Левая,Ձախ
Lever,Рычаг,Լծակ
"Lever, Buttons, Control knobs","Рычаг, кнопки, ручки управления","Լծակ, կոճակներ, կառավարման կոճակներ"
Li-Ion 1200 mAh,Литий-ионный 1200 мАч,Li-Ion 1200 mAh
Light,Световой,Լույս
Lighting,Освещение,Լուսավորություն
Lime green,Лаймово-зеленый,Կրաքարի կանաչ
Linea,Linea,Linea
Linea control knobs kit,Комплект ручек Linea,Linea կառավարման կոճակների հավաքածու
Linea minimal,Linea минимальная,Linea մինիմալիստական
Linking kit,Соединительный комплект,Միացնող հավաքածու
Long handle,Длинная ручка,Երկար բռնակ
"Low Temperature Cooking, Proving, Ready to eat, Defrosting, Heating, Yoghurt","Низкотемпературное приготовление, расстойка, готово к употреблению, разморозка, подогрев, йогурт","Ցածր ջերմաստիճանի խոհարարություն, հանգստացում, պատրաստ է ուտելու, հալեցում, տաքացում, յոգուրտ"
Low vibration compressor,Компрессор с низким уровнем вибрации,Ցածր թրթռման կոմպրեսոր
LxPxH 117x174x195 H203 (with lid),ШxГxВ 117x174x195 В203 (с крышкой),ԼxԽxԲ 117x174x195 H203 (կափարիչով)
LxPxH 136x136x203H (with lid and anti-slip base),ШxГxВ 136x136x203В (с крышкой и нескользящим основанием),ԼxԽxԲ 136x136x203H (կափարիչով և հակասայթաքման հիմքով)
LxPxH 60x60x268 mm,ШxГxВ 60x60x268 мм,ԼxԽxԲ 60x60x268 մմ
Manual,Ручное,Ձեռքով
Marble look,Под мрамор,Մարմարի տեսք
Matt,Матовый,Փայլատ
Matt Black,Матовый чёрный,Փայլատ սև
Matt White,Матовый белый,Փայլատ սպիտակ
Matt black,Матовый черный,Փայլատ սև
Matt black enamelled,Матово-черная эмаль,Փայլատ սև էմալապատ
Matt black enamelled flat,Матовые черные эмалированные плоские,Փայլատ սև էմալապատ հարթ
Matt chrome,Матовый хром,Փայլատ քրոմ
Matt grey,Матовый серый,Փայլատ մոխրագույն
"Meat and poultry, Fish and shellfish, Vegetables and side dishes, Cakes and sweets, Bread / pizza and pies","Мясо и птица, рыба и морепродукты, овощи и гарниры, торты и сладости, хлеб / пицца и пироги","Միս և թռչնամիս, ձուկ և ծովամթերք, բանջարեղեն և խավարտներ, տորթեր և քաղցրավենիք, հաց / պիցցա և կարկանդակներ"
Mechanical button,Механическая кнопка,Մեխանիկական կոճակ
Memory,Память,Հիշողություն
Metal,Металл,Մետաղ
Metal racks,Металлические решетки,Մետաղական դարակներ
Metal sheet,Металлический лист,Մետաղական թերթ
Metallic multilayer,Металлический многослойный,Մետաղական բազմաշերտ
Metallic sheet,Металлический лист,Մետաղական թերթ
Micro + grill,Микроволны + гриль,Միկրո + գրիլ
Micro combi,Микроволны комбинированные,Միկրո համակցված
Microfiber cloth,Микрофибровая ткань,Միկրոֆիբրային կտոր
Microwave,Микроволновая печь,Միկրոալիքային
Microwave with grill,Микроволновая печь с грилем,Միկրոալիքային գրիլով
Milk Frother,Вспениватель молока,Կաթի փրփրիչ
Minimum radius,Минимальный радиус,Նվազագույն շառավիղ
Mira,Мира,Միրա
Mista,Смешанная,Խառը
Mixed,Комбинированная,Խառը
Mobile semi-professional,Мобильный полупрофессиональный,Շարժական կիսապրոֆեսիոնալ
Monoblock bowl,Моноблок-чаша,Մոնոբլոկ թաս
Monoblock sink,Моноблок-мойка,Մոնոբլոկ լվացարան
Moonlight,Лунный свет,Լուսնի լույս
Moulds Set,Набор форм,Ձևերի հավաքածու
Multi Slider,Мульти-слайдер,Բազմասահիչ
Multi Slider and Knobs,Мульти-слайдер и ручки,Բազմասահիչ և կոճակներ
Multi food grinder,Многофункциональная мясорубка,Բազմաֆունկցիոնալ մսաղաց
Multi-session cooking,Многосессионное приготовление,Բազմասեանսային խոհարարություն
MultiZone,Мультизона,Բազմագոտի
Multicolor,Многоцветный,Բազմագույն
Multitech,Multitech,Multitech
Multitech / Twintech,Multitech / Twintech,Multitech / Twintech
Musa,Муза,Մուսա
"Natural condenser drying, with Dry Assist + automatic door opening system at the end of the cycle","Естественная конденсационная сушка с Dry Assist + автоматической системой открывания дверцы в конце цикла","Բնական կոնդենսացիոն չորացում, Dry Assist + ավտոմատ դռան բացման համակարգով ցիկլի վերջում"
"Natural condenser drying, with Dry Assist automatic door opening system at the end of the cycle","Естественная конденсационная сушка с автоматической системой открывания дверцы Dry Assist в конце цикла","Բնական կոնդենսացիոն չորացում, Dry Assist ավտոմատ դռան բացման համակարգով ցիկլի վերջում"
Navy Blue,Темно-синий,Նավատորմի կապույտ
Neptune Grey,Серый Нептун,Նեպտուն մոխրագույն
Nero,Черный,Սև
New Cucina Silver control knobs kit,Новый комплект ручек Cucina Silver,Նոր Cucina Silver կառավարման կոճակների հավաքածու
Nichelato,Никелированный,Նիկելապատ
Nickel,Никель,Նիկել
No Frost,No Frost,No Frost
No Taphole,Без отверстия под кран,Առանց ծորակի անցքի
No spin/ 400/ 600/ 800/ 1000/ 1200/ 1400,Без отжима/ 400/ 600/ 800/ 1000/ 1200/ 1400,Առանց պտտման/ 400/ 600/ 800/ 1000/ 1200/ 1400
No spin/ 500/ 600/ 800/ 1000/ 1200,Без отжима/ 500/ 600/ 800/ 1000/ 1200,Առանց պտտման/ 500/ 600/ 800/ 1000/ 1200
No spin/ 600/ 800/ 1000/ 1200/ 1400,Без отжима/ 600/ 800/ 1000/ 1200/ 1400,Առանց պտտման/ 600/ 800/ 1000/ 1200/ 1400
No spin/ 600/ 800/ 1200/ 1400,Без отжима/ 600/ 800/ 1200/ 1400,Առանց պտտման/ 600/ 800/ 1200/ 1400
No spin/ 600/ 800/ 1200/ 1400/ Rinse hold,Без отжима/ 600/ 800/ 1200/ 1400/ Задержка полоскания,Առանց պտտման/ 600/ 800/ 1200/ 1400/ Ողողման պահում
"No, hand wash only","Нет, только ручная стирка","Ոչ, միայն ձեռքով լվացում"
Non insulated bottle,Неутепленная бутылка,Չմեկուսացված շիշ
Non-electric soda maker,Ручной газировщик,Ոչ էլեկտրական գազավորված ջրի արտադրիչ
Normal,Обычный,Նորմալ
Not included,Не входит в комплект,Ներառված չէ
Not present,Отсутствует,Բացակայում է
Not supplied,Не поставляется,Չի մատակարարվում
NovaCare,NovaCare,NovaCare
Nuova Selezione,Новая коллекция,Նոր հավաքածու
OLED,OLED-дисплей,Օրգանական լուսադիոդային էկրան
Oats,Овсяный,Վարսակի
Old Brass,Старая латунь,Հին արույր
Olive green,Оливково-зеленый,Ձիթապտղի կանաչ
Omni,Омни,Օմնի
Omnichef,Omnichef,Omnichef
On display,На дисплее,Էկրանին
"On display, with acoustic signal","На дисплее, со звуковым сигналом","Էկրանին, ձայնային ազդանշանով"
On sliding rails,На скользящих направляющих,Սահող ռելսերի վրա
On three levels (5 cm),На трех уровнях (5 см),Երեք մակարդակով (5 սմ)
On two levels (4 cm),На двух уровнях (4 см),Երկու մակարդակով (4 սմ)
"On two levels, by extraction","На двух уровнях, с вытяжкой","Երկու մակարդակով, արտանետմամբ"
On-off,Вкл-выкл,Միացում-անջատում
One Door,Однодверный,Մեկ դուռ
Optional,Опционально,Ընտրովի
Opzionale,Опционально,Ընտրովի
Orange,Оранжевый,Նարնջագույն
Orbital,Орбитальная,Ուղեծրային
Orologio,Часы,Ժամացույց
Other Ø,Другой диаметр,Այլ տրամագիծ
Oven,Духовой шкаф,Ջեռոց
Ovens,Духовые шкафы,Ջեռոցներ
"Ovens, Blast chillers, Fridges and freezers","Духовки, шоковые охладители, холодильники и морозильники","Ջեռոցներ, շոկային սառեցիչներ, սառնարաններ և սառցախցիկներ"
"Ovens, Cookers","Духовки, плиты","Ջեռոցներ, սալօջախներ"
PP+Al foil,Полипропилен + алюминиевая фольга,PP+Al փայլաթիթեղ
PVD Brushed,Щеточный PVD,Խոզանակված PVD
Painted material,Окрашенный материал,Ներկված նյութ
Painted material + Glass,Окрашенный материал + стекло,Ներկված նյութ + ապակի
Painted metal sheet,Окрашенный металлический лист,Ներկված մետաղական թերթ
Pan stands,Подставки для сковородок,Թավայի տակդիրներ
Pan stands and burner caps set,Набор подставок и крышек горелок,Թավայի տակդիրների և այրիչի կափարիչների հավաքածու
Pan stands set,Набор подставок для сковородок,Թավայի տակդիրների հավաքածու
Panel,Панель,Վահանակ
Panna,Кремовый,Կրեմ
Partially-integrated built-in,Частично встроенная,Մասամբ ինտեգրված ներկառուցվող
Passive,Пассивный,Պասիվ
Pasta roller,Машина для пасты,Մակարոնի գլան
Pasta roller and cutter set (3 accessories),Набор для пасты (3 аксессуара),Մակարոնի գլանի և կտրիչի հավաքածու (3 աքսեսուար)
Pastel blue,Пастельно-голубой,Բաց կապույտ
Pastel green,Пастельно-зеленый,Բաց կանաչ
Penta,Пента,Պենտա
Perfectly Pale,Идеально бледный,Կատարյալ գունատ
Pink,Розовый,Վարդագույն
Pizza shovel,Лопатка для пиццы,Պիցցայի թիակ
Pizza stone,Камень для пиццы,Պիցցայի քար
Planetarium,Планетарная,Մոլորակային
Plastic,Пластик,Պլաստիկ
"Plastic, Aluminium","Пластик, алюминий","Պլաստիկ, ալյումին"
Plastica,Пластик,Պլաստիկ
Plinth Kit,Комплект цоколя,Ցոկոլի հավաքածու
Polish,Полированный,Փայլեցված
Polish Crome,Полированный хром,Փայլուն քրոմ
Polish chrome,Полированный хром,Փայլեցված քրոմ
Polished,Полированный,Փայլեցված
Polished Chrome,Полированный хром,Փայլեցված քրոմ
Polished chrome,Полированный хром,Փայլեցված քրոմ
Polished chromed,Полированный хромированный,Փայլեցված քրոմապատ
Polished stainless steel,Полированная нержавеющая сталь,Փայլեցված չժանգոտվող պողպատ
Polished steel,Полированная сталь,Փայլեցված պողպատ
Polyphonic,Полифонический,Բազմահնչյուն
Porsche x SMEG,Porsche x SMEG,Porsche x SMEG
Portable cookers,Переносные плиты,Շարժական սալօջախներ
Portofino,Портофино,Պորտոֆինո
Pre-polished,Предварительно полированный,Նախապես փայլեցված
Prepared,Подготовлено,Պատրաստված
Prestige ceramic,Престижная керамика,Պրեստիժ կերամիկա
"Prewash, Additional rinse, Anti-wrinkle (easy ironing), Quick, Intensive","Предварительная стирка, дополнительное полоскание, антисминание (легкая глажка), быстрая, интенсивная","Նախնական լվացում, լրացուցիչ ողողում, կնճիռների դեմ (հեշտ արդուկում), արագ, ինտենսիվ"
Profile Kit,Профильный комплект,Պրոֆիլի հավաքածու
"Program duration, Delay start, Residual time indicator, Visualisation of the selected options","Длительность программы, отложенный старт, индикатор остаточного времени, визуализация выбранных опций","Ծրագրի տևողությունը, հետաձգված մեկնարկ, մնացորդային ժամանակի ցուցիչ, ընտրված տարբերակների տեսողականացում"
Push,Нажатие,Սեղմում
Push pull,Выдвижной ящик,Հրում-քաշում
Pyro steam,Пиролиз + пар,Պիրո գոլորշի
Pyrolitic,Пиролитическая,Պիրոլիտիկ
QS-Galileo,QS-Galileo,QS-Galileo
Quadra,Квадра,Քվադրա
Quartz,Кварц,Քվարց
Rack,Решётка,Դարակ
Raising Kit,Комплект подъема,Բարձրացման հավաքածու
Rear centre,Задняя центральная,Հետևի կենտրոն
Rear left,Сзади слева,Հետևի ձախ
Rear right,Сзади справа,Հետևի աջ
Rear-centre,Задний-центр,Հետևի կենտրոն
Rear-left,Сзади слева,Հետևի ձախ
Rear-right,Сзади справа,Հետևի աջ
Rechargeable battery,Перезаряжаемая батарея,Վերալիցքավորվող մարտկոց
Recirculating kit,Комплект для рециркуляции,Վերաշրջանառության հավաքածու
Recirculation,Рециркуляция,Վերաշրջանառություն
Rectified wide,Прямая широкая кромка,Ուղղված լայն եզր
