key	catalog_key	colours	skus	name_ru_before	name_ru	name_en	name_hy
Oven|combi steam oven | galileo technology 60 cm selezione aesthetic line	Oven|combi steam oven | galileo technology 60 cm selezione aesthetic line	2	4	Комбинированный пароварочный шкаф | Galileo technology 60 см, линия Selezione	Комбинированный пароварочный шкаф | Galileo technology 60 см, линия Selezione	Combi Steam Oven | Galileo technology 60 cm Selezione aesthetic line	Համակցված գոլորշու ջեռոց | Galileo technology 60 սմ, Selezione էսթետիկա
Oven|combi steam oven | galileo technology 60 cm victoria aesthetic line	Oven|combi steam oven | galileo technology 60 cm victoria aesthetic line	3	3	Комбинированный пароварочный шкаф | Galileo technology 60 см, линия Victoria	Комбинированный пароварочный шкаф | Galileo technology 60 см, линия Victoria	Combi Steam Oven | Galileo technology 60 cm Victoria aesthetic line	Համակցված գոլորշու ջեռոց | Galileo technology 60 սմ, Victoria էսթետիկա
Oven|fan assisted oven 60 cm coloniale aesthetic line	Oven|fan assisted oven 60 cm coloniale aesthetic line	2	2	Духовой шкаф с конвекцией 60 см, линия Coloniale	Духовой шкаф с конвекцией 60 см, линия Coloniale	Fan assisted Oven 60 cm Coloniale aesthetic line	Կոնվեկցիայով ջեռոց 60 սմ, Coloniale էսթետիկա
Oven|microwave with grill oven | galileo technology 45 cm classica aesthetic line	Oven|microwave with grill oven | galileo technology 45 cm classica aesthetic line	2	3	Микроволновая печь с грилем | Galileo technology 45 cm, линия Classica	Микроволновая печь с грилем | Galileo technology 45 cm, линия Classica	Microwave with grill Oven | Galileo technology 45 cm Classica aesthetic line	Միկրոալիքային վառարան գրիլով | Galileo technology 45 cm, Classica էսթետիկա
Oven|multitech oven | galileo technology 45 cm linea aesthetic line	Oven|multitech oven | galileo technology 45 cm linea aesthetic line	2	3	Мультитехнологичный духовой шкаф | Galileo technology 45 cm, линия Linea	Мультитехнологичный духовой шкаф | Galileo technology 45 cm, линия Linea	Multitech Oven | Galileo technology 45 cm Linea aesthetic line	Բազմատեխնոլոգիական ջեռոց | Galileo technology 45 cm, Linea էսթետիկա
Oven|multitech oven | galileo technology 60 cm classica aesthetic line	Oven|multitech oven | galileo technology 60 cm classica aesthetic line	2	2	Мультитехнологичный духовой шкаф | Galileo technology 60 cm, линия Classica	Мультитехнологичный духовой шкаф | Galileo technology 60 cm, линия Classica	Multitech Oven | Galileo technology 60 cm Classica aesthetic line	Բազմատեխնոլոգիական ջեռոց | Galileo technology 60 cm, Classica էսթետիկա
Oven|multitech oven | galileo technology 60 cm linea aesthetic line	Oven|multitech oven | galileo technology 60 cm linea aesthetic line	2	4	Мультитехнологичный духовой шкаф | Galileo technology 60 cm, линия Linea	Мультитехнологичный духовой шкаф | Galileo technology 60 cm, линия Linea	Multitech Oven | Galileo technology 60 cm Linea aesthetic line	Բազմատեխնոլոգիական ջեռոց | Galileo technology 60 cm, Linea էսթետիկա
Oven|multitech oven | galileo technology 60 cm musa aesthetic line	Oven|multitech oven | galileo technology 60 cm musa aesthetic line	2	2	Мультитехнологичный духовой шкаф | Galileo technology 60 cm, линия Musa	Мультитехнологичный духовой шкаф | Galileo technology 60 cm, линия Musa	Multitech Oven | Galileo technology 60 cm Musa aesthetic line	Բազմատեխնոլոգիական ջեռոց | Galileo technology 60 cm, Musa էսթետիկա
Oven|thermo-ventilated oven | galileo technology 60 cm linea aesthetic line	Oven|thermo-ventilated oven | galileo technology 60 cm linea aesthetic line	2	6	Духовой шкаф с термовентиляцией | Galileo technology 60 cm, линия Linea	Духовой шкаф с термовентиляцией | Galileo technology 60 cm, линия Linea	Thermo-ventilated Oven | Galileo technology 60 cm Linea aesthetic line	Ջեռոց տերմովենտիլյացիայով | Galileo technology 60 cm, Linea էսթետիկա
Oven|thermo-ventilated oven | galileo technology 60 cm musa aesthetic line	Oven|thermo-ventilated oven | galileo technology 60 cm musa aesthetic line	2	2	Духовой шкаф с термовентиляцией | Galileo technology 60 cm, линия Musa	Духовой шкаф с термовентиляцией | Galileo technology 60 cm, линия Musa	Thermo-ventilated Oven | Galileo technology 60 cm Musa aesthetic line	Ջեռոց տերմովենտիլյացիայով | Galileo technology 60 cm, Musa էսթետիկա
Oven|thermo-ventilated oven | galileo technology 60 cm victoria aesthetic line	Oven|thermo-ventilated oven | galileo technology 60 cm victoria aesthetic line	3	3	Духовой шкаф с термовентиляцией | Galileo technology 60 cm, линия Victoria	Духовой шкаф с термовентиляцией | Galileo technology 60 cm, линия Victoria	Thermo-ventilated Oven | Galileo technology 60 cm Victoria aesthetic line	Ջեռոց տերմովենտիլյացիայով | Galileo technology 60 cm, Victoria էսթետիկա
Oven|thermo-ventilated oven 60 cm classica aesthetic line	Oven|thermo-ventilated oven 60 cm classica aesthetic line	2	5	Духовой шкаф с термовентиляцией 60 cm, линия Classica	Духовой шкаф с термовентиляцией 60 cm, линия Classica	Thermo-ventilated Oven 60 cm Classica aesthetic line	Ջեռոց տերմովենտիլյացիայով 60 cm, Classica էսթետիկա
Oven|thermo-ventilated oven 60 cm musa aesthetic line	Oven|thermo-ventilated oven 60 cm musa aesthetic line	2	7	Духовой шкаф с термовентиляцией 60 cm, линия Musa	Духовой шкаф с термовентиляцией 60 cm, линия Musa	Thermo-ventilated Oven 60 cm Musa aesthetic line	Ջեռոց տերմովենտիլյացիայով 60 cm, Musa էսթետիկա
Oven|thermo-ventilated oven 60 cm selezione aesthetic line	Oven|thermo-ventilated oven 60 cm selezione aesthetic line	3	12	Духовой шкаф с термовентиляцией 60 cm, линия Selezione	Духовой шкаф с термовентиляцией 60 cm, линия Selezione	Thermo-ventilated Oven 60 cm Selezione aesthetic line	Ջեռոց տերմովենտիլյացիայով 60 cm, Selezione էսթետիկա
Oven|thermo-ventilated oven 60 cm victoria aesthetic line	Oven|thermo-ventilated oven 60 cm victoria aesthetic line	3	6	Духовой шкаф с термовентиляцией 60 cm, линия Victoria	Духовой шкаф с термовентиляцией 60 cm, линия Victoria	Thermo-ventilated Oven 60 cm Victoria aesthetic line	Ջեռոց տերմովենտիլյացիայով 60 cm, Victoria էսթետիկա
Oven|thermo-ventilated oven 90 cm classica aesthetic line	Oven|thermo-ventilated oven 90 cm classica aesthetic line	2	4	Духовой шкаф с термовентиляцией 90 cm, линия Classica	Духовой шкаф с термовентиляцией 90 cm, линия Classica	Thermo-ventilated Oven 90 cm Classica aesthetic line	Ջեռոց տերմովենտիլյացիայով 90 cm, Classica էսթետիկա
Portable cookers|portable induction cooker , matt collezione aesthetic	Portable cookers|portable induction cooker , matt collezione aesthetic	3	3	Переносная индукционная плита матовая, эстетика Collezione	Переносная индукционная плита матовая, эстетика Collezione	Portable induction cooker Matt Collezione Aesthetic	Շարժական ինդուկցիոն սալիկ մատ, Collezione էսթետիկա
Refrigerator|free standing refrigerator 2 doors & 2 drawers universale aesthetic	Refrigerator|free standing refrigerator 2 doors & 2 drawers universale aesthetic	2	4	Отдельностоящий холодильник, 2 двери и 2 ящика, эстетика Universale	Отдельностоящий холодильник, 2 двери и 2 ящика, эстетика Universale	Free standing refrigerator 2 Doors & 2 Drawers Universale Aesthetic	Առանձին կանգնող սառնարան, 2 դուռ և 2 դարակ, Universale էսթետիկա
Refrigerator|free standing refrigerator 4 doors coloniale aesthetic	Refrigerator|free standing refrigerator 4 doors coloniale aesthetic	2	2	Отдельностоящий холодильник, 4 двери, эстетика Coloniale	Отдельностоящий холодильник, 4 двери, эстетика Coloniale	Free standing refrigerator 4 Doors Coloniale Aesthetic	Առանձին կանգնող սառնարան, 4 դուռ, Coloniale էսթետիկա
Refrigerator|free standing refrigerator 4 doors universale aesthetic	Refrigerator|free standing refrigerator 4 doors universale aesthetic	5	9	Отдельностоящий холодильник, 4 двери, эстетика Universale	Отдельностоящий холодильник, 4 двери, эстетика Universale	Free standing refrigerator 4 Doors Universale Aesthetic	Առանձին կանգնող սառնարան, 4 դուռ, Universale էսթետիկա
Refrigerator|free standing refrigerator 4 doors victoria aesthetic	Refrigerator|free standing refrigerator 4 doors victoria aesthetic	3	3	Отдельностоящий холодильник, 4 двери, эстетика Victoria	Отдельностоящий холодильник, 4 двери, эстетика Victoria	Free standing refrigerator 4 Doors Victoria Aesthetic	Առանձին կանգնող սառնարան, 4 դուռ, Victoria էսթետիկա
Refrigerator|free standing refrigerator bottom mount coloniale aesthetic	Refrigerator|free standing refrigerator bottom mount coloniale aesthetic	2	4	Отдельностоящий холодильник с нижней морозильной камерой, эстетика Coloniale	Отдельностоящий холодильник с нижней морозильной камерой, эстетика Coloniale	Free standing refrigerator Bottom Mount Coloniale Aesthetic	Առանձին կանգնող սառնարան ստորին սառցախցիկով, Coloniale էսթետիկա
Refrigerator|free standing refrigerator bottom mount universale aesthetic	Refrigerator|free standing refrigerator bottom mount universale aesthetic	6	24	Отдельностоящий холодильник с нижней морозильной камерой Universale Aesthetic	Отдельностоящий холодильник с нижней морозильной камерой Universale Aesthetic	Free standing refrigerator Bottom Mount Universale Aesthetic	Ազատ տեղադրվող սառնարան՝ ներքևի մոնտաժով, Universale ոճի
Refrigerator|free standing refrigerator top mount universale aesthetic	Refrigerator|free standing refrigerator top mount universale aesthetic	4	9	Отдельностоящий холодильник с верхней морозильной камерой, эстетика Universale	Отдельностоящий холодильник с верхней морозильной камерой, эстетика Universale	Free standing refrigerator Top Mount Universale Aesthetic	Առանձին կանգնող սառնարան վերին սառցախցիկով, Universale էսթետիկա
Refrigerator|free standing refrigerator under counter universale aesthetic	Refrigerator|free standing refrigerator under counter universale aesthetic	2	5	Отдельностоящий холодильник, под столешницу, эстетика Universale	Отдельностоящий холодильник, под столешницу, эстетика Universale	Free standing refrigerator Under counter Universale Aesthetic	Առանձին կանգնող սառնարան, աշխատասեղանի տակ, Universale էսթետիկա
Refrigerator|glossy refrigerator 1530x601x728 mm free standing 50's style	Refrigerator|glossy refrigerator 1530x601x728 mm free standing 50's style	12	22	Холодильник глянцевый, 1530x601x728 мм, отдельностоящий, 50's Style	Холодильник глянцевый, 1530x601x728 мм, отдельностоящий, 50's Style	Glossy refrigerator 1530x601x728 mm Free standing 50's Style	Սառնարան փայլուն, 1530x601x728 մմ, առանձին կանգնող, 50's Style
Refrigerator|glossy refrigerator 1720x600x728 mm free standing 50's style	Refrigerator|glossy refrigerator 1720x600x728 mm free standing 50's style	11	21	Холодильник глянцевый, 1720x600x728 мм, отдельностоящий, 50's Style	Холодильник глянцевый, 1720x600x728 мм, отдельностоящий, 50's Style	Glossy refrigerator 1720x600x728 mm Free standing 50's Style	Սառնարան փայլուն, 1720x600x728 մմ, առանձին կանգնող, 50's Style
Refrigerator|glossy refrigerator 1921x796x805 mm free standing 50's style	Refrigerator|glossy refrigerator 1921x796x805 mm free standing 50's style	6	9	Холодильник, глянцевый, 1921x796x805 мм, отдельностоящий, 50-е гг. Стиль	Холодильник, глянцевый, 1921x796x805 мм, отдельностоящий, 50-е гг. Стиль	Glossy refrigerator 1921x796x805 mm Free standing 50's Style	Սառնարան փայլուն, 1921x796x805 մմ, առանձին կանգնող, 50's Style
Refrigerator|glossy refrigerator 1968x601x728 mm free standing 50's style	Refrigerator|glossy refrigerator 1968x601x728 mm free standing 50's style	11	20	Холодильник глянцевый, 1968x601x728 мм, отдельностоящий, 50's Style	Холодильник глянцевый, 1968x601x728 мм, отдельностоящий, 50's Style	Glossy refrigerator 1968x601x728 mm Free standing 50's Style	փայլուն սառնարան 1968x601x728 մմ, առանձին տեղադրվող, 50-ականների ոճ
Refrigerator|glossy refrigerator 2050x706x771 mm free standing 50's style	Refrigerator|glossy refrigerator 2050x706x771 mm free standing 50's style	6	9	Холодильник глянцевый, 2050x706x771 мм, отдельностоящий, 50's Style	Холодильник глянцевый, 2050x706x771 мм, отдельностоящий, 50's Style	Glossy refrigerator 2050x706x771 mm Free standing 50's Style	Սառնարան փայլուն, 2050x706x771 մմ, առանձին կանգնող, 50's Style
Refrigerator|matt refrigerator 1530x601x728 mm free standing 50's style	Refrigerator|matt refrigerator 1530x601x728 mm free standing 50's style	8	8	Холодильник матовый, 1530x601x728 мм, отдельностоящий, 50's Style	Холодильник матовый, 1530x601x728 мм, отдельностоящий, 50's Style	Matt refrigerator 1530x601x728 mm Free standing 50's Style	Սառնարան մատ, 1530x601x728 մմ, առանձին կանգնող, 50's Style
Refrigerator|minibar refrigerator one door, free standing 50's style	Refrigerator|minibar refrigerator one door, free standing 50's style	9	42	Холодильник-минибар одна дверь, отдельностоящий, 50's Style	Холодильник-минибар одна дверь, отдельностоящий, 50's Style	Minibar Refrigerator One Door, Free standing 50's Style	մինիբար սառնարան մեկ դռնանի, առանձին տեղադրվող 50-ականների ոճով
Refrigerator|refrigerator 865x1280x815 mm free standing 50's style	Refrigerator|refrigerator 865x1280x815 mm free standing 50's style	5	5	холодильник 865x1280x815 мм, отдельностоящий, в стиле 50-х годов	холодильник 865x1280x815 мм, отдельностоящий, в стиле 50-х годов	refrigerator 865x1280x815 mm Free standing 50's Style	Սառնարան 865x1280x815 մմ, առանձին կանգնող, 50's Style
Sink|kitchen sink standard built-in universale aesthetic	Sink|kitchen sink standard built-in universale aesthetic	7	71	Кухонная мойка стандартная встраиваемая, эстетика Universale	Кухонная мойка стандартная встраиваемая, эстетика Universale	Kitchen sink Standard built-in Universale Aesthetic	Խոհանոցային լվացարան ստանդարտ ներկառուցվող, Universale էսթետիկա
Sink|kitchen sink standard, undermount built-in universale aesthetic	Sink|kitchen sink standard, undermount built-in universale aesthetic	5	11	Кухонная мойка стандартная подстольная встраиваемая, эстетика Universale	Кухонная мойка стандартная подстольная встраиваемая, эстетика Universale	Kitchen sink Standard, Undermount built-in Universale Aesthetic	Խոհանոցային լվացարան ստանդարտ, սեղանի տակ ներկառուցվող, Universale էսթետիկա
Sink|kitchen sink undermount built-in universale aesthetic	Sink|kitchen sink undermount built-in universale aesthetic	5	39	Кухонная мойка подстольная встраиваемая, эстетика Universale	Кухонная мойка подстольная встраиваемая, эстетика Universale	Kitchen sink Undermount built-in Universale Aesthetic	Խոհանոցային լվացարան սեղանի տակ ներկառուցվող, Universale էսթետիկա
Soda Maker|soda maker, matt finish collezione aesthetic	Soda Maker|soda maker, matt finish collezione aesthetic	4	4	Сифон для газирования матовый, эстетика Collezione	Сифон для газирования матовый, эстетика Collezione	Soda Maker Matt finish Collezione Aesthetic	Գազավորման սարք մատ, Collezione էսթետիկա
Toaster|2 extra-wide slots toaster 50's style aesthetic	Toaster|2 extra-wide slots toaster 50's style aesthetic	8	8	Тостер с 2 широкими слотами эстетика 50's Style	Тостер с 2 широкими слотами эстетика 50's Style	2 extra-wide slots Toaster 50's Style Aesthetic	Տոստեր 2 լայն բացվածքով 50's Style էսթետիկա
Toaster|4 slice toaster 50's style aesthetic	Toaster|4 slice toaster 50's style aesthetic	8	8	Тостер на 4 ломтика эстетика 50's Style	Тостер на 4 ломтика эстетика 50's Style	4 slice Toaster 50's Style Aesthetic	Տոստեր 4 կտորի 50's Style էսթետիկա
Toaster|glossy toaster 2‑slice, 2‑slot toaster 50's style aesthetic	Toaster|glossy toaster 2‑slice, 2‑slot toaster 50's style aesthetic	9	9	Тостер на 2 ломтика глянцевый, эстетика 50's Style	Тостер на 2 ломтика глянцевый, эстетика 50's Style	Glossy toaster 2‑slice, 2‑slot toaster 50's Style aesthetic	Տոստեր 2 կտորի փայլուն, 50's Style էսթետիկա
Toaster|matt toaster 2‑slice, 2‑slot toaster 50's style aesthetic	Toaster|matt toaster 2‑slice, 2‑slot toaster 50's style aesthetic	6	6	Тостер на 2 ломтика матовый, эстетика 50's Style	Тостер на 2 ломтика матовый, эстетика 50's Style	Matt toaster 2‑slice, 2‑slot toaster 50's Style aesthetic	Տոստեր 2 կտորի մատ, 50's Style էսթետիկա
